seq	trim_left	trim_right	primer_type
S-05540_oECA306_C11_p1_SEQ1184192A_090817E	29	5	p1_SEQ1184192A_090817E
S-06218_oECA306_F08_p2_SEQ1184192A_090817F	37	1	p2_SEQ1184192A_090817F
S-06230_oECA306_F10_p2_SEQ1184192A_090817F	39	3	p2_SEQ1184192A_090817F
S-06380_oECA306_A05_p3_SEQ1184192A_090817G	33	0	p3_SEQ1184192A_090817G
S-06668_oECA306_F04_p3_SEQ1184192A_090817G	10	2	p3_SEQ1184192A_090817G
S-06976_oECA306_B12_p4_SEQ1184192A_090817H	11	3	p4_SEQ1184192A_090817H
S-07049_oECA306_C01_p4_SEQ1184192A_090817H	14	3	p4_SEQ1184192A_090817H
S-07052_oECA306_C02_p4_SEQ1184192A_090817H	10	3	p4_SEQ1184192A_090817H
S-07061_oECA306_C03_p4_SEQ1184192A_090817H	15	8	p4_SEQ1184192A_090817H
S-07097_oECA306_C04_p4_SEQ1184192A_090817H	10	6	p4_SEQ1184192A_090817H
S-07100_oECA306_C05_p4_SEQ1184192A_090817H	15	20	p4_SEQ1184192A_090817H
S-07107_oECA306_C06_p4_SEQ1184192A_090817H	9	9	p4_SEQ1184192A_090817H
S-07108_oECA306_C07_p4_SEQ1184192A_090817H	21	4	p4_SEQ1184192A_090817H
S-07151_oECA306_C08_p4_SEQ1184192A_090817H	11	4	p4_SEQ1184192A_090817H
S-07159_oECA306_C09_p4_SEQ1184192A_090817H	10	20	p4_SEQ1184192A_090817H
S-07165_oECA306_C10_p4_SEQ1184192A_090817H	10	12	p4_SEQ1184192A_090817H
S-07169_oECA306_C11_p4_SEQ1184192A_090817H	11	3	p4_SEQ1184192A_090817H
S-07170_oECA306_C12_p4_SEQ1184192A_090817H	20	15	p4_SEQ1184192A_090817H
S-07177_oECA306_D01_p4_SEQ1184192A_090817H	10	1	p4_SEQ1184192A_090817H
S-07204_oECA306_D02_p4_SEQ1184192A_090817H	10	5	p4_SEQ1184192A_090817H
S-07216_oECA306_D03_p4_SEQ1184192A_090817H	0	3	p4_SEQ1184192A_090817H
S-07225_oECA306_D04_p4_SEQ1184192A_090817H	9	8	p4_SEQ1184192A_090817H
S-07228_oECA306_D05_p4_SEQ1184192A_090817H	11	11	p4_SEQ1184192A_090817H
S-07237_oECA306_D06_p4_SEQ1184192A_090817H	11	9	p4_SEQ1184192A_090817H
S-07239_oECA306_D07_p4_SEQ1184192A_090817H	12	17	p4_SEQ1184192A_090817H
S-07243_oECA306_D08_p4_SEQ1184192A_090817H	11	67	p4_SEQ1184192A_090817H
S-07244_oECA306_D09_p4_SEQ1184192A_090817H	10	4	p4_SEQ1184192A_090817H
S-07255_oECA306_D10_p4_SEQ1184192A_090817H	16	6	p4_SEQ1184192A_090817H
306_D04_p1_SEQ1184192A_090817E	7	0	p1_SEQ1184192A_090817E
S-05568_oECA306_D05_p1_SEQ1184192A_090817E	0	5	p1_SEQ1184192A_090817E
S-05573_oECA306_D06_p1_SEQ1184192A_090817E	8	12	p1_SEQ1184192A_090817E
S-05575_oECA306_D07_p1_SEQ1184192A_090817E	8	5	p1_SEQ1184192A_090817E
S-05576_oECA306_D08_p1_SEQ1184192A_090817E	9	0	p1_SEQ1184192A_090817E
S-05578_oECA306_D09_p1_SEQ1184192A_090817E	0	1	p1_SEQ1184192A_090817E
S-05580_oECA306_D10_p1_SEQ1184192A_090817E	0	1	p1_SEQ1184192A_090817E
S-05581_oECA306_D11_p1_SEQ1184192A_090817E	21	1	p1_SEQ1184192A_090817E
S-05591_oECA306_D12_p1_SEQ1184192A_090817E	8	13	p1_SEQ1184192A_090817E
S-05593_oECA306_E01_p1_SEQ1184192A_090817E	15	3	p1_SEQ1184192A_090817E
S-05612_oECA306_E02_p1_SEQ1184192A_090817E	17	8	p1_SEQ1184192A_090817E
S-05620_oECA306_E03_p1_SEQ1184192A_090817E	14	5	p1_SEQ1184192A_090817E
S-05621_oECA306_E04_p1_SEQ1184192A_090817E	11	2	p1_SEQ1184192A_090817E
S-05631_oECA306_E05_p1_SEQ1184192A_090817E	0	2	p1_SEQ1184192A_090817E
S-05632_oECA306_E06_p1_SEQ1184192A_090817E	16	1	p1_SEQ1184192A_090817E
S-05637_oECA306_E07_p1_SEQ1184192A_090817E	21	2	p1_SEQ1184192A_090817E
S-05661_oECA306_E08_p1_SEQ1184192A_090817E	10	4	p1_SEQ1184192A_090817E
S-05662_oECA306_E09_p1_SEQ1184192A_090817E	9	15	p1_SEQ1184192A_090817E
S-05666_oECA306_E10_p1_SEQ1184192A_090817E	9	1	p1_SEQ1184192A_090817E
S-05670_oECA306_E11_p1_SEQ1184192A_090817E	12	7	p1_SEQ1184192A_090817E
S-05672_oECA306_E12_p1_SEQ1184192A_090817E	8	17	p1_SEQ1184192A_090817E
S-05680_oECA306_F01_p1_SEQ1184192A_090817E	0	0	p1_SEQ1184192A_090817E
S-05681_oECA306_F02_p1_SEQ1184192A_090817E	0	7	p1_SEQ1184192A_090817E
S-05683_oECA306_F03_p1_SEQ1184192A_090817E	15	1	p1_SEQ1184192A_090817E
S-05703_oECA306_F04_p1_SEQ1184192A_090817E	13	11	p1_SEQ1184192A_090817E
S-05707_oECA306_F05_p1_SEQ1184192A_090817E	9	22	p1_SEQ1184192A_090817E
S-05709_oECA306_F06_p1_SEQ1184192A_090817E	9	2	p1_SEQ1184192A_090817E
S-05711_oECA306_F07_p1_SEQ1184192A_090817E	10	3	p1_SEQ1184192A_090817E
S-05715_oECA306_F08_p1_SEQ1184192A_090817E	11	2	p1_SEQ1184192A_090817E
S-05720_oECA306_F09_p1_SEQ1184192A_090817E	8	10	p1_SEQ1184192A_090817E
S-05732_oECA306_F10_p1_SEQ1184192A_090817E	12	1	p1_SEQ1184192A_090817E
S-05733_oECA306_F11_p1_SEQ1184192A_090817E	8	10	p1_SEQ1184192A_090817E
S-05736_oECA306_F12_p1_SEQ1184192A_090817E	9	7	p1_SEQ1184192A_090817E
S-05737_oECA306_G01_p1_SEQ1184192A_090817E	9	7	p1_SEQ1184192A_090817E
S-05741_oECA306_G02_p1_SEQ1184192A_090817E	14	20	p1_SEQ1184192A_090817E
S-05752_oECA306_G03_p1_SEQ1184192A_090817E	7	0	p1_SEQ1184192A_090817E
S-05761_oECA306_G04_p1_SEQ1184192A_090817E	13	0	p1_SEQ1184192A_090817E
S-05763_oECA306_G05_p1_SEQ1184192A_090817E	9	16	p1_SEQ1184192A_090817E
S-05764_oECA306_G06_p1_SEQ1184192A_090817E	10	5	p1_SEQ1184192A_090817E
S-05765_oECA306_G07_p1_SEQ1184192A_090817E	9	15	p1_SEQ1184192A_090817E
S-05766_oECA306_G08_p1_SEQ1184192A_090817E	10	4	p1_SEQ1184192A_090817E
S-05770_oECA306_G09_p1_SEQ1184192A_090817E	9	1	p1_SEQ1184192A_090817E
S-05772_oECA306_G10_p1_SEQ1184192A_090817E	8	4	p1_SEQ1184192A_090817E
S-05781_oECA306_G11_p1_SEQ1184192A_090817E	8	4	p1_SEQ1184192A_090817E
S-05784_oECA306_G12_p1_SEQ1184192A_090817E	13	17	p1_SEQ1184192A_090817E
S-05785_oECA306_H01_p1_SEQ1184192A_090817E	9	11	p1_SEQ1184192A_090817E
S-05786_oECA306_H02_p1_SEQ1184192A_090817E	14	10	p1_SEQ1184192A_090817E
S-05787_oECA306_H03_p1_SEQ1184192A_090817E	13	11	p1_SEQ1184192A_090817E
S-05788_oECA306_H04_p1_SEQ1184192A_090817E	9	4	p1_SEQ1184192A_090817E
S-05793_oECA306_H05_p1_SEQ1184192A_090817E	13	28	p1_SEQ1184192A_090817E
S-05794_oECA306_H06_p1_SEQ1184192A_090817E	8	14	p1_SEQ1184192A_090817E
S-05799_oECA306_H07_p1_SEQ1184192A_090817E	0	1	p1_SEQ1184192A_090817E
S-05800_oECA306_H08_p1_SEQ1184192A_090817E	0	4	p1_SEQ1184192A_090817E
S-05886_oECA306_H09_p1_SEQ1184192A_090817E	0	16	p1_SEQ1184192A_090817E
S-05890_oECA306_H10_p1_SEQ1184192A_090817E	13	6	p1_SEQ1184192A_090817E
S-05894_oECA306_H11_p1_SEQ1184192A_090817E	9	20	p1_SEQ1184192A_090817E
S-05913_oECA306_H12_p1_SEQ1184192A_090817E	13	2	p1_SEQ1184192A_090817E
____control_ECA684_oECA306_A01_p2_SEQ1184192A_090817F	19	2	p2_SEQ1184192A_090817F
____control_ECA684_oECA306_A02_p2_SEQ1184192A_090817F	8	0	p2_SEQ1184192A_090817F
S-05918_oECA306_A03_p2_SEQ1184192A_090817F	8	20	p2_SEQ1184192A_090817F
S-05919_oECA306_A04_p2_SEQ1184192A_090817F	9	1	p2_SEQ1184192A_090817F
S-05927_oECA306_A05_p2_SEQ1184192A_090817F	9	11	p2_SEQ1184192A_090817F
S-05930_oECA306_A06_p2_SEQ1184192A_090817F	21	17	p2_SEQ1184192A_090817F
S-05934_oECA306_A07_p2_SEQ1184192A_090817F	7	13	p2_SEQ1184192A_090817F
S-05937_oECA306_A08_p2_SEQ1184192A_090817F	12	4	p2_SEQ1184192A_090817F
S-05944_oECA306_A09_p2_SEQ1184192A_090817F	8	12	p2_SEQ1184192A_090817F
S-05945_oECA306_A10_p2_SEQ1184192A_090817F	17	13	p2_SEQ1184192A_090817F
S-05947_oECA306_A11_p2_SEQ1184192A_090817F	9	13	p2_SEQ1184192A_090817F
S-05948_oECA306_A12_p2_SEQ1184192A_090817F	10	20	p2_SEQ1184192A_090817F
S-05949_oECA306_B01_p2_SEQ1184192A_090817F	12	4	p2_SEQ1184192A_090817F
S-05954_oECA306_B02_p2_SEQ1184192A_090817F	9	6	p2_SEQ1184192A_090817F
S-05957_oECA306_B03_p2_SEQ1184192A_090817F	7	3	p2_SEQ1184192A_090817F
S-05958_oECA306_B04_p2_SEQ1184192A_090817F	8	23	p2_SEQ1184192A_090817F
S-05959_oECA306_B05_p2_SEQ1184192A_090817F	9	5	p2_SEQ1184192A_090817F
S-05962_oECA306_B06_p2_SEQ1184192A_090817F	0	7	p2_SEQ1184192A_090817F
S-05967_oECA306_B07_p2_SEQ1184192A_090817F	11	4	p2_SEQ1184192A_090817F
S-05984_oECA306_B08_p2_SEQ1184192A_090817F	10	9	p2_SEQ1184192A_090817F
S-05986_oECA306_B09_p2_SEQ1184192A_090817F	9	52	p2_SEQ1184192A_090817F
S-05987_oECA306_B10_p2_SEQ1184192A_090817F	11	11	p2_SEQ1184192A_090817F
S-05991_oECA306_B11_p2_SEQ1184192A_090817F	10	2	p2_SEQ1184192A_090817F
S-05993_oECA306_B12_p2_SEQ1184192A_090817F	0	2	p2_SEQ1184192A_090817F
S-06001_oECA306_C01_p2_SEQ1184192A_090817F	0	4	p2_SEQ1184192A_090817F
S-06003_oECA306_C02_p2_SEQ1184192A_090817F	11	5	p2_SEQ1184192A_090817F
S-06004_oECA306_C03_p2_SEQ1184192A_090817F	9	27	p2_SEQ1184192A_090817F
S-06012_oECA306_C04_p2_SEQ1184192A_090817F	27	14	p2_SEQ1184192A_090817F
S-06013_oECA306_C05_p2_SEQ1184192A_090817F	8	31	p2_SEQ1184192A_090817F
S-06022_oECA306_C06_p2_SEQ1184192A_090817F	8	14	p2_SEQ1184192A_090817F
S-06023_oECA306_C07_p2_SEQ1184192A_090817F	8	19	p2_SEQ1184192A_090817F
S-06025_oECA306_C08_p2_SEQ1184192A_090817F	10	0	p2_SEQ1184192A_090817F
S-06026_oECA306_C09_p2_SEQ1184192A_090817F	11	3	p2_SEQ1184192A_090817F
S-06038_oECA306_C10_p2_SEQ1184192A_090817F	14	3	p2_SEQ1184192A_090817F
S-06039_oECA306_C11_p2_SEQ1184192A_090817F	9	0	p2_SEQ1184192A_090817F
S-06041_oECA306_C12_p2_SEQ1184192A_090817F	15	7	p2_SEQ1184192A_090817F
S-06046_oECA306_D01_p2_SEQ1184192A_090817F	12	2	p2_SEQ1184192A_090817F
S-06047_oECA306_D02_p2_SEQ1184192A_090817F	0	1	p2_SEQ1184192A_090817F
S-06054_oECA306_D03_p2_SEQ1184192A_090817F	6	5	p2_SEQ1184192A_090817F
S-06055_oECA306_D04_p2_SEQ1184192A_090817F	14	2	p2_SEQ1184192A_090817F
S-06058_oECA306_D05_p2_SEQ1184192A_090817F	8	11	p2_SEQ1184192A_090817F
S-06059_oECA306_D06_p2_SEQ1184192A_090817F	6	1	p2_SEQ1184192A_090817F
S-06060_oECA306_D07_p2_SEQ1184192A_090817F	9	3	p2_SEQ1184192A_090817F
S-06072_oECA306_D08_p2_SEQ1184192A_090817F	10	12	p2_SEQ1184192A_090817F
S-06073_oECA306_D09_p2_SEQ1184192A_090817F	0	5	p2_SEQ1184192A_090817F
S-06076_oECA306_D10_p2_SEQ1184192A_090817F	13	2	p2_SEQ1184192A_090817F
S-06096_oECA306_D11_p2_SEQ1184192A_090817F	10	0	p2_SEQ1184192A_090817F
S-06105_oECA306_D12_p2_SEQ1184192A_090817F	8	14	p2_SEQ1184192A_090817F
S-06129_oECA306_E01_p2_SEQ1184192A_090817F	0	4	p2_SEQ1184192A_090817F
S-06130_oECA306_E02_p2_SEQ1184192A_090817F	10	6	p2_SEQ1184192A_090817F
S-06141_oECA306_E03_p2_SEQ1184192A_090817F	9	5	p2_SEQ1184192A_090817F
S-06145_oECA306_E04_p2_SEQ1184192A_090817F	13	11	p2_SEQ1184192A_090817F
S-06146_oECA306_E05_p2_SEQ1184192A_090817F	13	9	p2_SEQ1184192A_090817F
S-06150_oECA306_E06_p2_SEQ1184192A_090817F	9	10	p2_SEQ1184192A_090817F
S-06153_oECA306_E07_p2_SEQ1184192A_090817F	9	2	p2_SEQ1184192A_090817F
S-06155_oECA306_E08_p2_SEQ1184192A_090817F	16	2	p2_SEQ1184192A_090817F
S-06156_oECA306_E09_p2_SEQ1184192A_090817F	9	5	p2_SEQ1184192A_090817F
S-06165_oECA306_E10_p2_SEQ1184192A_090817F	8	5	p2_SEQ1184192A_090817F
S-06166_oECA306_E11_p2_SEQ1184192A_090817F	8	7	p2_SEQ1184192A_090817F
S-06167_oECA306_E12_p2_SEQ1184192A_090817F	8	11	p2_SEQ1184192A_090817F
S-06168_oECA306_F01_p2_SEQ1184192A_090817F	0	7	p2_SEQ1184192A_090817F
S-06174_oECA306_F02_p2_SEQ1184192A_090817F	10	10	p2_SEQ1184192A_090817F
S-06175_oECA306_F03_p2_SEQ1184192A_090817F	9	3	p2_SEQ1184192A_090817F
S-06176_oECA306_F04_p2_SEQ1184192A_090817F	10	9	p2_SEQ1184192A_090817F
S-06192_oECA306_F05_p2_SEQ1184192A_090817F	6	6	p2_SEQ1184192A_090817F
S-06195_oECA306_F06_p2_SEQ1184192A_090817F	17	4	p2_SEQ1184192A_090817F
S-06213_oECA306_F07_p2_SEQ1184192A_090817F	6	4	p2_SEQ1184192A_090817F
S-06218_oECA306_F08_p2_SEQ1184192A_090817F	37	1	p2_SEQ1184192A_090817F
S-06224_oECA306_F09_p2_SEQ1184192A_090817F	12	2	p2_SEQ1184192A_090817F
S-06230_oECA306_F10_p2_SEQ1184192A_090817F	39	3	p2_SEQ1184192A_090817F
S-06241_oECA306_F11_p2_SEQ1184192A_090817F	7	11	p2_SEQ1184192A_090817F
S-06245_oECA306_F12_p2_SEQ1184192A_090817F	8	9	p2_SEQ1184192A_090817F
S-06250_oECA306_G01_p2_SEQ1184192A_090817F	0	1	p2_SEQ1184192A_090817F
S-06251_oECA306_G02_p2_SEQ1184192A_090817F	6	7	p2_SEQ1184192A_090817F
S-06260_oECA306_G03_p2_SEQ1184192A_090817F	9	1	p2_SEQ1184192A_090817F
S-06270_oECA306_G04_p2_SEQ1184192A_090817F	14	20	p2_SEQ1184192A_090817F
S-06271_oECA306_G05_p2_SEQ1184192A_090817F	24	9	p2_SEQ1184192A_090817F
S-06272_oECA306_G06_p2_SEQ1184192A_090817F	29	5	p2_SEQ1184192A_090817F
S-06273_oECA306_G07_p2_SEQ1184192A_090817F	34	2	p2_SEQ1184192A_090817F
S-06274_oECA306_G08_p2_SEQ1184192A_090817F	0	4	p2_SEQ1184192A_090817F
S-06280_oECA306_G09_p2_SEQ1184192A_090817F	10	1	p2_SEQ1184192A_090817F
S-06285_oECA306_G10_p2_SEQ1184192A_090817F	9	11	p2_SEQ1184192A_090817F
S-06301_oECA306_G11_p2_SEQ1184192A_090817F	23	11	p2_SEQ1184192A_090817F
S-06305_oECA306_G12_p2_SEQ1184192A_090817F	16	4	p2_SEQ1184192A_090817F
S-06317_oECA306_H01_p2_SEQ1184192A_090817F	13	19	p2_SEQ1184192A_090817F
S-06318_oECA306_H02_p2_SEQ1184192A_090817F	9	9	p2_SEQ1184192A_090817F
S-06322_oECA306_H03_p2_SEQ1184192A_090817F	15	2	p2_SEQ1184192A_090817F
S-06328_oECA306_H04_p2_SEQ1184192A_090817F	10	3	p2_SEQ1184192A_090817F
S-06337_oECA306_H05_p2_SEQ1184192A_090817F	9	20	p2_SEQ1184192A_090817F
S-06341_oECA306_H06_p2_SEQ1184192A_090817F	12	5	p2_SEQ1184192A_090817F
S-06342_oECA306_H07_p2_SEQ1184192A_090817F	11	5	p2_SEQ1184192A_090817F
S-06345_oECA306_H08_p2_SEQ1184192A_090817F	23	0	p2_SEQ1184192A_090817F
S-06348_oECA306_H09_p2_SEQ1184192A_090817F	8	15	p2_SEQ1184192A_090817F
S-06354_oECA306_H10_p2_SEQ1184192A_090817F	41	3	p2_SEQ1184192A_090817F
S-06372_oECA306_H11_p2_SEQ1184192A_090817F	17	13	p2_SEQ1184192A_090817F
S-06373_oECA306_H12_p2_SEQ1184192A_090817F	8	3	p2_SEQ1184192A_090817F
____control_ECA684_oECA306_A01_p3_SEQ1184192A_090817G	11	4	p3_SEQ1184192A_090817G
____control_ECA684_oECA306_A02_p3_SEQ1184192A_090817G	9	5	p3_SEQ1184192A_090817G
S-06376_oECA306_A03_p3_SEQ1184192A_090817G	27	0	p3_SEQ1184192A_090817G
S-06377_oECA306_A04_p3_SEQ1184192A_090817G	35	4	p3_SEQ1184192A_090817G
S-06380_oECA306_A05_p3_SEQ1184192A_090817G	33	0	p3_SEQ1184192A_090817G
S-06383_oECA306_A06_p3_SEQ1184192A_090817G	8	13	p3_SEQ1184192A_090817G
S-06386_oECA306_A07_p3_SEQ1184192A_090817G	11	2	p3_SEQ1184192A_090817G
S-06389_oECA306_A08_p3_SEQ1184192A_090817G	0	5	p3_SEQ1184192A_090817G
S-06392_oECA306_A09_p3_SEQ1184192A_090817G	0	3	p3_SEQ1184192A_090817G
S-06394_oECA306_A10_p3_SEQ1184192A_090817G	0	2	p3_SEQ1184192A_090817G
S-06395_oECA306_A11_p3_SEQ1184192A_090817G	42	3	p3_SEQ1184192A_090817G
S-06398_oECA306_A12_p3_SEQ1184192A_090817G	10	9	p3_SEQ1184192A_090817G
S-06403_oECA306_B01_p3_SEQ1184192A_090817G	30	3	p3_SEQ1184192A_090817G
S-06404_oECA306_B02_p3_SEQ1184192A_090817G	44	1	p3_SEQ1184192A_090817G
S-06405_oECA306_B03_p3_SEQ1184192A_090817G	8	4	p3_SEQ1184192A_090817G
S-06406_oECA306_B04_p3_SEQ1184192A_090817G	9	5	p3_SEQ1184192A_090817G
S-06407_oECA306_B05_p3_SEQ1184192A_090817G	10	13	p3_SEQ1184192A_090817G
S-06410_oECA306_B06_p3_SEQ1184192A_090817G	6	0	p3_SEQ1184192A_090817G
S-06412_oECA306_B07_p3_SEQ1184192A_090817G	0	3	p3_SEQ1184192A_090817G
S-06413_oECA306_B08_p3_SEQ1184192A_090817G	9	6	p3_SEQ1184192A_090817G
S-06416_oECA306_B09_p3_SEQ1184192A_090817G	0	3	p3_SEQ1184192A_090817G
S-06419_oECA306_B10_p3_SEQ1184192A_090817G	38	3	p3_SEQ1184192A_090817G
S-06422_oECA306_B11_p3_SEQ1184192A_090817G	0	0	p3_SEQ1184192A_090817G
S-06431_oECA306_B12_p3_SEQ1184192A_090817G	12	3	p3_SEQ1184192A_090817G
S-06432_oECA306_C01_p3_SEQ1184192A_090817G	13	13	p3_SEQ1184192A_090817G
S-06437_oECA306_C02_p3_SEQ1184192A_090817G	13	11	p3_SEQ1184192A_090817G
S-06438_oECA306_C03_p3_SEQ1184192A_090817G	10	4	p3_SEQ1184192A_090817G
S-06439_oECA306_C04_p3_SEQ1184192A_090817G	12	6	p3_SEQ1184192A_090817G
S-06447_oECA306_C05_p3_SEQ1184192A_090817G	9	5	p3_SEQ1184192A_090817G
S-06465_oECA306_C06_p3_SEQ1184192A_090817G	12	0	p3_SEQ1184192A_090817G
S-06467_oECA306_C07_p3_SEQ1184192A_090817G	9	8	p3_SEQ1184192A_090817G
S-06468_oECA306_C08_p3_SEQ1184192A_090817G	20	3	p3_SEQ1184192A_090817G
S-06471_oECA306_C09_p3_SEQ1184192A_090817G	12	1	p3_SEQ1184192A_090817G
S-06472_oECA306_C10_p3_SEQ1184192A_090817G	10	4	p3_SEQ1184192A_090817G
S-06487_oECA306_C11_p3_SEQ1184192A_090817G	32	2	p3_SEQ1184192A_090817G
S-06491_oECA306_C12_p3_SEQ1184192A_090817G	9	4	p3_SEQ1184192A_090817G
S-06492_oECA306_D01_p3_SEQ1184192A_090817G	9	7	p3_SEQ1184192A_090817G
S-06521_oECA306_D02_p3_SEQ1184192A_090817G	0	3	p3_SEQ1184192A_090817G
